,Education,Marital_Status,Income,Recency,Response,Age,Customer_Since,Total_Spent,RatioWines,RatioFruits,RatioMeatProducts,RatioFishProducts,RatioSweetProducts,RatioGoldProds,Total_Accepted_Campaign,Total_Purchase,Total_Web_Engagement
0,0,0,58138.0,58,1,68,663,1617,0.39270253555967843,0.05442176870748299,0.33766233766233766,0.10636982065553494,0.05442176870748299,0.05442176870748299,0,32,15
1,0,0,46344.0,38,0,71,113,27,0.4074074074074074,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2222222222222222,0,13,6
2,0,1,71613.0,26,0,60,312,776,0.5489690721649485,0.06314432989690721,0.163659793814433,0.14304123711340205,0.027061855670103094,0.05412371134020619,0,25,12
3,0,1,26646.0,26,0,41,139,53,0.20754716981132076,0.07547169811320754,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.09433962264150944,0,15,8
4,1,1,58293.0,94,0,44,161,422,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.10900473933649289,0.06398104265402843,0.035545023696682464,0,25,10
5,1,1,62513.0,16,0,58,293,716,0.7262569832402235,0.05865921787709497,0.13687150837988826,0.0,0.05865921787709497,0.019553072625698324,0,29,12
6,0,0,55635.0,34,0,54,593,590,0.3983050847457627,0.11016949152542373,0.27796610169491526,0.0847457627118644,0.08305084745762711,0.04576271186440678,0,28,13
7,1,1,33454.0,32,0,40,417,169,0.44970414201183434,0.05917159763313609,0.33136094674556216,0.01775147928994083,0.005917159763313609,0.13609467455621302,0,19,12
8,1,1,30351.0,19,1,51,388,46,0.30434782608695654,0.0,0.5217391304347826,0.06521739130434782,0.06521739130434782,0.043478260869565216,0,16,12
11,0,1,7500.0,59,0,49,593,61,0.09836065573770492,0.26229508196721313,0.18032786885245902,0.18032786885245902,0.01639344262295082,0.26229508196721313,0,14,10
12,0,0,63033.0,82,0,66,226,1102,0.17604355716878403,0.05535390199637023,0.4355716878402904,0.20417422867513613,0.10163339382940109,0.02722323049001815,0,18,5
13,1,0,59354.0,53,0,73,226,310,0.7516129032258064,0.0064516129032258064,0.17096774193548386,0.00967741935483871,0.016129032258064516,0.04516129032258064,0,23,12
14,0,1,17323.0,38,0,38,627,46,0.06521739130434782,0.30434782608695654,0.3695652173913043,0.13043478260869565,0.021739130434782608,0.10869565217391304,0,13,9
15,1,0,82800.0,23,1,79,582,1315,0.7650190114068441,0.016730038022813688,0.08745247148288973,0.044866920152091254,0.05171102661596958,0.034220532319391636,2,29,10
16,0,1,41850.0,51,0,45,552,96,0.5520833333333334,0.052083333333333336,0.19791666666666666,0.020833333333333332,0.13541666666666666,0.041666666666666664,0,19,11
17,0,1,37760.0,20,0,79,667,317,0.26498422712933756,0.015772870662460567,0.11987381703470032,0.47318611987381703,0.03785488958990536,0.08832807570977919,0,20,11
18,1,1,76995.0,91,0,76,458,1782,0.5679012345679012,0.04489337822671156,0.27946127946127947,0.0,0.008978675645342313,0.09876543209876543,1,32,16
19,1,0,33812.0,86,0,40,603,133,0.03007518796992481,0.12781954887218044,0.14285714285714285,0.22556390977443608,0.18045112781954886,0.2932330827067669,0,15,8
20,0,1,37040.0,41,0,43,690,316,0.2721518987341772,0.006329113924050633,0.2310126582278481,0.21835443037974683,0.12025316455696203,0.1518987341772152,0,20,12
22,1,1,58607.0,63,0,76,553,972,0.8919753086419753,0.0,0.08847736625514403,0.0,0.0,0.01954732510288066,1,26,10
23,1,1,65324.0,0,0,71,169,544,0.7058823529411765,0.0,0.1875,0.03860294117647059,0.058823529411764705,0.009191176470588236,0,25,10
24,0,1,40689.0,69,0,74,468,444,0.6081081081081081,0.006756756756756757,0.060810810810810814,0.08783783783783784,0.013513513513513514,0.22297297297297297,0,29,15
25,0,0,18589.0,89,0,56,543,75,0.08,0.05333333333333334,0.3333333333333333,0.2,0.16,0.17333333333333334,0,15,9
26,0,1,53359.0,4,0,49,398,257,0.6731517509727627,0.01556420233463035,0.11673151750972763,0.011673151750972763,0.023346303501945526,0.15953307392996108,0,23,12
28,0,1,38360.0,26,0,36,394,131,0.2748091603053435,0.015267175572519083,0.32061068702290074,0.15267175572519084,0.16030534351145037,0.07633587786259542,0,13,5
29,1,1,84618.0,96,0,60,219,1672,0.4090909090909091,0.05980861244019139,0.47906698564593303,0.012559808612440191,0.039473684210526314,0.0,1,28,8
30,1,0,10979.0,34,0,36,38,30,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0,13,8
31,1,1,38620.0,56,0,62,414,318,0.3522012578616352,0.05345911949685535,0.13836477987421383,0.1069182389937107,0.06918238993710692,0.279874213836478,0,14,5
32,0,1,40548.0,31,0,55,627,120,0.9166666666666666,0.0,0.041666666666666664,0.016666666666666666,0.0,0.025,1,15,7
